Name,Description,Latitude,Longitude,Day,MapsLink
蘭州中川國際機場,抵達 9C7395 09:40,36.5152,103.6208,Day1,https://www.google.com/maps/search/?api=1&query=兰州中川国际机场
青海湖二郎劍景區,南岸觀湖 趕日落,36.578633,100.495767,Day1,https://www.google.com/maps/search/?api=1&query=青海湖二郎剑景区
青海湖卡巴倉·措瓊諾日,江西溝下社村五社030 1晚,36.5835,100.468,Day1,https://www.google.com/maps/search/?api=1&query=青海湖卡巴仓+措琼诺日+江西沟乡下社村
茶卡鹽湖,天空之鏡,36.7528,99.0794,Day2,https://www.google.com/maps/search/?api=1&query=茶卡盐湖
德令哈經停,午餐補給,37.3743,97.3701,Day2,https://www.google.com/maps/search/?api=1&query=德令哈市
大柴旦麗呈翠星酒店,義海街9號 連住2晚,37.8538,95.3688,Day2,https://www.google.com/maps/search/?api=1&query=大柴旦丽呈翠星酒店+义海街9号
察爾汗鹽湖,鹽橋公路,36.814,95.3,Day3,https://www.google.com/maps/search/?api=1&query=察尔汗盐湖
315國道U型公路,天空之鏡彎道,38.048,94.152,Day3,https://www.google.com/maps/search/?api=1&query=315国道U型公路
水上雅丹,烏素特雅丹,37.53,93.48,Day3,https://www.google.com/maps/search/?api=1&query=乌素特水上雅丹
大柴旦翡翠湖,蒂芙尼藍鹽池,37.8389,95.3717,Day4,https://www.google.com/maps/search/?api=1&query=大柴旦翡翠湖
黑獨山,黑色火山岩丘,38.0247,94.8028,Day4,https://www.google.com/maps/search/?api=1&query=黑独山
煌漠玥民宿 Moon Field,月牙泉鎮楊家橋三組58號 連住2晚,40.095,94.682,Day4,https://www.google.com/maps/search/?api=1&query=煌漠玥民宿+月牙泉镇鸣山路杨家桥三组58号
莫高窟,務必預約A類票,40.0411,94.8097,Day5,https://www.google.com/maps/search/?api=1&query=莫高窟
鳴沙山月牙泉,傍晚日落,40.0925,94.6694,Day5,https://www.google.com/maps/search/?api=1&query=鸣沙山月牙泉
嘉峪關關城,長城西端,39.8015,98.216,Day6,https://www.google.com/maps/search/?api=1&query=嘉峪关关城
張掖七彩丹霞,日落層次,38.91555,100.1332,Day6,https://www.google.com/maps/search/?api=1&query=张掖七彩丹霞
望山國際大酒店（張掖西站）,雙塔民俗文化村2-3號 1晚,38.911,100.395,Day6,https://www.google.com/maps/search/?api=1&query=望山国际大酒店+张掖西站+双塔民俗文化村
祁連山草原卓爾山,扁都口入青,38.196,100.238,Day7,https://www.google.com/maps/search/?api=1&query=祁连卓尔山
祁連五礦國貿飯店,八寶鎮濱河路 1晚,38.1785,100.25,Day7,https://www.google.com/maps/search/?api=1&query=祁连五矿国贸饭店+八宝镇滨河路
崗什卡雪峰觀景台,國慶早出發,37.705,101.305,Day8,https://www.google.com/maps/search/?api=1&query=岗什卡雪峰观景台
門源經停,午餐補給,37.3766,101.6185,Day8,https://www.google.com/maps/search/?api=1&query=门源回族自治县
記憶時光摩洛哥復古鏡民宿,中發源城市廣場9棟26樓 1晚,36.6215,101.805,Day8,https://www.google.com/maps/search/?api=1&query=中发源城市广场+西宁城东
塔爾寺,視航班,36.4883,101.5694,Day9,https://www.google.com/maps/search/?api=1&query=塔尔寺
蘭州中川機場返程,9C7396 21:00,36.5152,103.6208,Day9,https://www.google.com/maps/search/?api=1&query=兰州中川国际机场
